sa2,SA22018_name,airbnb_properties,long_term_properties
327000,Christchurch Central-East,402,954.0
327100,Christchurch Central-South,312,255.0
325800,Christchurch Central-North,220,1128.0
326600,Christchurch Central,153,33.0
325700,Christchurch Central-West,142,453.0
333500,Akaroa,120,
333300,Akaroa Harbour,95,
323000,Merivale,79,651.0
332700,Sumner,79,270.0
332500,Lyttelton,66,222.0
327900,Linwood West,63,1665.0
324800,St Albans East,62,1026.0
323900,St Albans West,61,693.0
325300,Edgeware,60,1410.0
330200,New Brighton,54,471.0
332900,Diamond Harbour,52,
322700,Wharenui,49,549.0
324400,Riccarton South,48,957.0
332000,Mount Pleasant,45,153.0
326100,Addington West,43,846.0
318300,Burnside Park,42,279.0
333100,Banks Peninsula South,40,
328900,Phillipstown,38,1107.0
332400,Clifton Hill,36,81.0
332100,Redcliffs,36,156.0
323800,St Albans North,36,561.0
333200,Eastern Bays-Banks Peninsula,33,
331300,Cashmere East,33,153.0
323300,Riccarton West,33,987.0
326800,Richmond South (Christchurch City),32,810.0
323200,Mona Vale,31,252.0
325200,Riccarton East,29,297.0
316700,Christchurch Airport,28,
322200,Rutland,27,261.0
333400,Inlet Akaroa Harbour,25,
329100,Somerfield East,25,471.0
328100,Sydenham Central,25,111.0
325900,Richmond North (Christchurch City),24,327.0
330300,Cashmere West,24,141.0
327600,Spreydon North,24,714.0
331700,South New Brighton,24,213.0
327400,Addington East,23,852.0
329400,Sydenham North,23,570.0
331200,Huntsbury,22,105.0
322400,Deans Bush,22,240.0
322900,Awatea South,22,75.0
327200,North Beach,22,288.0
320500,Northcote (Christchurch City),22,279.0
327300,Halswell North,21,162.0
322100,Malvern,21,258.0
326400,Addington North,20,66.0
329700,Sydenham South,20,567.0
321100,Hornby South,19,435.0
330000,Westmorland,19,66.0
320600,Jellie Park,19,252.0
317800,Bishopdale North,19,318.0
320200,Ilam North,19,606.0
329600,Charleston (Christchurch City),19,384.0
322600,Holmwood,18,129.0
329000,Kennedys Bush,18,234.0
316600,Yaldhurst,18,132.0
319200,Burnside,18,348.0
332200,Governors Bay,18,
326900,Spreydon West,18,528.0
318700,Broomfield,17,111.0
317000,Harewood,17,39.0
328500,Linwood North,17,438.0
329900,Waltham,17,636.0
330600,Beckenham,16,141.0
331400,Hillsborough (Christchurch City),16,156.0
321800,Bush Inn,15,732.0
324500,Halswell West,15,354.0
324900,Hagley Park,15,
321400,Strowan,15,303.0
331900,Heathcote Valley,15,123.0
331100,Woolston East,14,339.0
323400,Shirley West,14,285.0
317700,Hawthornden,14,201.0
317500,Russley,14,60.0
316900,Belfast West,14,189.0
319500,Avonhead East,14,261.0
321000,Sockburn North,13,480.0
320800,Bryndwr South,13,261.0
323100,Mairehau South,13,303.0
321300,Prestons,12,147.0
319300,Hei Hei,12,273.0
326000,Waimairi Beach,12,36.0
325600,Burwood,12,210.0
325000,Hillmorton,12,309.0
328700,Sydenham West,12,351.0
319700,Avonhead South,12,306.0
319800,Riccarton Racecourse,12,225.0
319900,Bryndwr North,12,426.0
321500,Fendalton,11,123.0
318000,Bishopdale West,11,273.0
320100,Papanui West,11,348.0
330100,Woolston North,10,333.0
316800,Clearwater,10,36.0
326500,Dallington,10,285.0
320700,Ilam South,10,456.0
321700,Mairehau North,10,276.0
321900,Awatea North,10,300.0
330800,St Martins,10,150.0
324300,Oaklands West,10,159.0
329300,Linwood East,10,177.0
319600,Redwood East,9,225.0
322500,Wigram North,9,120.0
332800,Teddington,9,
326300,Oaklands East,9,261.0
318600,Redwood North,8,120.0
330500,Ensors,8,246.0
325400,Aidanfield,8,117.0
317900,Casebrook,8,273.0
320900,Papanui East,8,246.0
328000,Halswell South,8,147.0
329200,Somerfield West,8,267.0
327700,Hoon Hay East,7,237.0
328400,Wainoni,7,237.0
323500,Middleton,7,111.0
324000,Travis Wetlands,7,198.0
325500,Tower Junction,7,
326700,Hoon Hay West,7,174.0
318400,Marshland,7,180.0
318800,Redwood West,6,123.0
328300,Rawhiti,6,273.0
322000,Upper Riccarton,6,258.0
324100,Wigram East,6,69.0
327800,Avonside,6,240.0
325100,Parklands,6,258.0
317400,Northwood,6,144.0
323600,Wigram South,5,129.0
323700,Queenspark,5,141.0
328200,Spreydon South,5,312.0
331800,Brookhaven-Ferrymead,5,81.0
324700,Broken Run,5,
319400,Papanui North,5,147.0
316400,McLeans Island,5,
327500,Avondale (Christchurch City),5,153.0
324200,Riccarton Central,5,27.0
332600,Inlet Port Lyttelton,4,
328800,Lancaster Park,4,99.0
329500,Hoon Hay South,4,135.0
331600,Port Hills,4,
332300,Inlets other Christchurch City,4,
331000,Woolston West,4,108.0
324600,Shirley East,4,192.0
318500,Avonhead North,4,81.0
318900,Avonhead West,4,117.0
319000,Bishopdale South,3,207.0
317200,Styx,3,
317300,Belfast East,3,198.0
317600,Regents Park,3,57.0
318100,Templeton,3,78.0
320400,Hornby Central,3,
329800,Bexley,3,141.0
328600,Aranui,3,234.0
326200,Otakaro-Avon River Corridor,3,
321200,Ilam University,3,282.0
322800,Wigram West,3,102.0
319100,Islington-Hornby Industrial,2,
331500,Woolston South,2,
320300,Hornby West,2,234.0
330900,Opawa,2,108.0
320000,Northlands (Christchurch City),1,
316500,Paparua,1,
317100,Brooklands-Spencerville,1,
321600,Waitikiri,1,57.0
322300,Sockburn South,1,45.0
330400,Bromley South,1,141.0
330700,Bromley North,1,
