,TimeFrame,Location Id,Dwelling Type,Number Of Beds,Total Bonds,Active Bonds,Closed Bonds,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Log Std Dev Weekly Rent,year_quarter
1,2026-04-01,,ALL,1,22014,113820,6969,550.0,522.0,660.0,450.0,0.4144,2026_Q2
2,2026-04-01,100100.0,ALL,1,6,9,0,425.0,408.0,475.0,370.0,0.2834,2026_Q2
3,2026-04-01,100600.0,ALL,1,6,12,3,588.0,585.0,720.0,545.0,0.255,2026_Q2
4,2026-04-01,100700.0,ALL,1,6,30,3,550.0,530.0,579.0,473.0,0.1588,2026_Q2
5,2026-04-01,100800.0,ALL,1,15,51,0,500.0,520.0,550.0,485.0,0.097,2026_Q2
6,2026-04-01,101100.0,ALL,1,6,36,3,570.0,536.0,621.0,490.0,0.1942,2026_Q2
7,2026-04-01,102800.0,ALL,1,6,21,3,698.0,649.0,739.0,575.0,0.2936,2026_Q2
8,2026-04-01,103000.0,ALL,1,9,33,3,580.0,482.0,590.0,390.0,0.3027,2026_Q2
9,2026-04-01,103100.0,ALL,1,9,27,3,650.0,606.0,710.0,530.0,0.2338,2026_Q2
10,2026-04-01,103500.0,ALL,1,12,69,3,470.0,451.0,550.0,388.0,0.2348,2026_Q2
11,2026-04-01,103900.0,ALL,1,12,42,3,500.0,525.0,594.0,450.0,0.2574,2026_Q2
12,2026-04-01,105500.0,ALL,1,9,27,0,530.0,537.0,565.0,520.0,0.1097,2026_Q2
13,2026-04-01,105800.0,ALL,1,12,27,0,645.0,638.0,673.0,610.0,0.0723,2026_Q2
14,2026-04-01,105900.0,ALL,1,6,30,3,645.0,634.0,703.0,595.0,0.1479,2026_Q2
15,2026-04-01,106100.0,ALL,1,12,63,0,545.0,552.0,625.0,488.0,0.1586,2026_Q2
16,2026-04-01,106200.0,ALL,1,18,75,3,555.0,540.0,646.0,550.0,0.2806,2026_Q2
17,2026-04-01,106500.0,ALL,1,9,39,3,600.0,612.0,625.0,590.0,0.0649,2026_Q2
18,2026-04-01,106600.0,ALL,1,21,153,12,490.0,434.0,660.0,350.0,0.5748,2026_Q2
19,2026-04-01,106800.0,ALL,1,15,84,0,595.0,573.0,620.0,550.0,0.1311,2026_Q2
20,2026-04-01,106900.0,ALL,1,18,90,0,555.0,521.0,653.0,508.0,0.3332,2026_Q2
21,2026-04-01,107000.0,ALL,1,21,117,3,490.0,463.0,560.0,420.0,0.3279,2026_Q2
22,2026-04-01,107100.0,ALL,1,6,57,3,465.0,498.0,641.0,415.0,0.2894,2026_Q2
23,2026-04-01,107200.0,ALL,1,12,39,3,548.0,534.0,625.0,465.0,0.2148,2026_Q2
24,2026-04-01,107300.0,ALL,1,6,33,0,515.0,535.0,598.0,485.0,0.1498,2026_Q2
25,2026-04-01,107400.0,ALL,1,12,111,9,360.0,325.0,415.0,250.0,0.3259,2026_Q2
26,2026-04-01,107500.0,ALL,1,9,78,3,560.0,533.0,605.0,495.0,0.1676,2026_Q2
27,2026-04-01,107800.0,ALL,1,6,24,3,513.0,500.0,596.0,438.0,0.3395,2026_Q2
28,2026-04-01,108100.0,ALL,1,6,21,0,550.0,551.0,633.0,490.0,0.1748,2026_Q2
29,2026-04-01,108200.0,ALL,1,9,48,3,450.0,444.0,558.0,435.0,0.4177,2026_Q2
30,2026-04-01,108300.0,ALL,1,15,39,3,580.0,552.0,595.0,550.0,0.2517,2026_Q2
31,2026-04-01,108500.0,ALL,1,6,18,3,508.0,497.0,578.0,434.0,0.1946,2026_Q2
32,2026-04-01,108700.0,ALL,1,12,42,0,670.0,661.0,700.0,638.0,0.0835,2026_Q2
33,2026-04-01,108800.0,ALL,1,15,42,3,580.0,576.0,670.0,500.0,0.2087,2026_Q2
34,2026-04-01,109000.0,ALL,1,6,30,3,520.0,466.0,600.0,425.0,0.3596,2026_Q2
35,2026-04-01,109300.0,ALL,1,30,135,6,530.0,456.0,568.0,423.0,0.3714,2026_Q2
36,2026-04-01,109500.0,ALL,1,6,24,3,575.0,553.0,613.0,538.0,0.1946,2026_Q2
37,2026-04-01,109700.0,ALL,1,6,12,3,538.0,517.0,658.0,414.0,0.2948,2026_Q2
38,2026-04-01,109900.0,ALL,1,18,33,3,670.0,690.0,733.0,648.0,0.1267,2026_Q2
39,2026-04-01,110200.0,ALL,1,6,12,0,455.0,471.0,503.0,428.0,0.1393,2026_Q2
40,2026-04-01,110400.0,ALL,1,6,21,0,690.0,650.0,798.0,563.0,0.2868,2026_Q2
41,2026-04-01,110900.0,ALL,1,6,9,3,658.0,676.0,685.0,650.0,0.0653,2026_Q2
42,2026-04-01,111100.0,ALL,1,6,24,0,685.0,671.0,743.0,633.0,0.1188,2026_Q2
43,2026-04-01,111200.0,ALL,1,6,27,0,685.0,697.0,768.0,621.0,0.1615,2026_Q2
44,2026-04-01,111300.0,ALL,1,18,51,3,688.0,634.0,750.0,543.0,0.2346,2026_Q2
45,2026-04-01,111500.0,ALL,1,6,15,0,1200.0,1183.0,1300.0,1113.0,0.2588,2026_Q2
46,2026-04-01,111700.0,ALL,1,12,48,6,695.0,618.0,700.0,564.0,0.2548,2026_Q2
47,2026-04-01,112700.0,ALL,1,12,39,3,795.0,753.0,843.0,676.0,0.2261,2026_Q2
48,2026-04-01,112900.0,ALL,1,9,24,0,775.0,777.0,825.0,713.0,0.2326,2026_Q2
49,2026-04-01,113000.0,ALL,1,18,78,6,630.0,618.0,705.0,563.0,0.1766,2026_Q2
50,2026-04-01,113100.0,ALL,1,6,15,0,825.0,710.0,1030.0,575.0,0.527,2026_Q2
51,2026-04-01,113300.0,ALL,1,15,36,0,750.0,796.0,950.0,680.0,0.2069,2026_Q2
52,2026-04-01,113400.0,ALL,1,9,39,0,795.0,709.0,975.0,540.0,0.335,2026_Q2
53,2026-04-01,113800.0,ALL,1,12,24,3,525.0,612.0,794.0,525.0,0.2248,2026_Q2
54,2026-04-01,113900.0,ALL,1,9,24,0,750.0,788.0,850.0,680.0,0.2635,2026_Q2
55,2026-04-01,114000.0,ALL,1,9,30,3,750.0,738.0,800.0,603.0,0.3452,2026_Q2
56,2026-04-01,114100.0,ALL,1,6,15,0,690.0,744.0,843.0,641.0,0.4037,2026_Q2
57,2026-04-01,114200.0,ALL,1,6,15,0,585.0,579.0,730.0,500.0,0.3051,2026_Q2
58,2026-04-01,114700.0,ALL,1,6,18,0,950.0,883.0,1213.0,670.0,0.3854,2026_Q2
59,2026-04-01,114800.0,ALL,1,6,15,0,900.0,871.0,1000.0,780.0,0.165,2026_Q2
60,2026-04-01,114900.0,ALL,1,9,27,3,675.0,652.0,825.0,550.0,0.3523,2026_Q2
61,2026-04-01,115000.0,ALL,1,27,60,0,780.0,697.0,820.0,605.0,0.2635,2026_Q2
62,2026-04-01,115100.0,ALL,1,15,36,0,595.0,557.0,650.0,500.0,0.1992,2026_Q2
63,2026-04-01,115800.0,ALL,1,6,30,3,728.0,722.0,770.0,681.0,0.0745,2026_Q2
64,2026-04-01,116100.0,ALL,1,9,24,0,820.0,753.0,840.0,690.0,0.2099,2026_Q2
65,2026-04-01,116200.0,ALL,1,9,36,0,620.0,636.0,670.0,600.0,0.2035,2026_Q2
66,2026-04-01,116400.0,ALL,1,6,12,0,545.0,557.0,773.0,411.0,0.3849,2026_Q2
67,2026-04-01,116500.0,ALL,1,12,60,9,655.0,737.0,891.0,583.0,0.2922,2026_Q2
68,2026-04-01,116600.0,ALL,1,6,18,3,1053.0,995.0,1175.0,836.0,0.1981,2026_Q2
69,2026-04-01,116700.0,ALL,1,18,63,0,690.0,625.0,860.0,535.0,0.532,2026_Q2
70,2026-04-01,116800.0,ALL,1,12,54,3,600.0,572.0,733.0,461.0,0.3428,2026_Q2
71,2026-04-01,116900.0,ALL,1,9,36,3,880.0,708.0,1150.0,600.0,0.5938,2026_Q2
72,2026-04-01,117000.0,ALL,1,21,75,3,695.0,697.0,768.0,645.0,0.1535,2026_Q2
73,2026-04-01,117200.0,ALL,1,9,48,3,620.0,575.0,850.0,450.0,0.6761,2026_Q2
74,2026-04-01,117300.0,ALL,1,30,186,12,605.0,582.0,660.0,554.0,0.223,2026_Q2
